jsic	unified_id	reason
A	UNI-92ae1dd76a	cap_per_jsic
A	UNI-92f059e40c	cap_per_jsic
A	UNI-9302f81f96	cap_per_jsic
A	UNI-95d91bf894	cap_per_jsic
A	UNI-970e5359fa	cap_per_jsic
A	UNI-972f443c2b	cap_per_jsic
A	UNI-978f6e1aab	cap_per_jsic
A	UNI-97ba796091	cap_per_jsic
A	UNI-98a2e018f0	cap_per_jsic
A	UNI-98dccad72c	cap_per_jsic
A	UNI-9995abc250	cap_per_jsic
A	UNI-9a627d8766	cap_per_jsic
A	UNI-9a94d829f8	cap_per_jsic
A	UNI-9ba48a5340	cap_per_jsic
A	UNI-9c8bd7c877	cap_per_jsic
A	UNI-9efbd55881	cap_per_jsic
A	UNI-9f47565b00	cap_per_jsic
A	UNI-9f77555fee	cap_per_jsic
A	UNI-a01021f17e	cap_per_jsic
A	UNI-a01f3fbd70	cap_per_jsic
A	UNI-a144d2dbba	cap_per_jsic
A	UNI-a15524d0ce	cap_per_jsic
A	UNI-a18c52e8df	cap_per_jsic
A	UNI-a4da1563af	cap_per_jsic
A	UNI-a4f9b35dca	cap_per_jsic
A	UNI-a524712e48	cap_per_jsic
A	UNI-a53cca0c11	cap_per_jsic
A	UNI-a56aad1851	cap_per_jsic
A	UNI-a602c3f3c3	cap_per_jsic
A	UNI-a820df973d	cap_per_jsic
A	UNI-a8baaeafdb	cap_per_jsic
A	UNI-a968f5cc07	cap_per_jsic
A	UNI-a99c644374	cap_per_jsic
A	UNI-a9ad39cae9	cap_per_jsic
A	UNI-a9c0fe3247	cap_per_jsic
A	UNI-aa6f8b86ba	cap_per_jsic
A	UNI-aab8ee05cc	cap_per_jsic
A	UNI-aae434c499	cap_per_jsic
A	UNI-abee615a38	cap_per_jsic
A	UNI-ac7849e69f	cap_per_jsic
A	UNI-acc03a349f	cap_per_jsic
A	UNI-ae0a942f3d	cap_per_jsic
A	UNI-ae51797e4f	cap_per_jsic
A	UNI-af1d814de1	cap_per_jsic
A	UNI-b030a81f37	cap_per_jsic
A	UNI-b05be62c1c	cap_per_jsic
A	UNI-b12b40621c	cap_per_jsic
A	UNI-b14c52a96e	cap_per_jsic
A	UNI-b183722866	cap_per_jsic
A	UNI-b1c74092e5	cap_per_jsic
A	UNI-b28b190b65	cap_per_jsic
A	UNI-b34e30e6eb	cap_per_jsic
A	UNI-b37b9497a3	cap_per_jsic
A	UNI-b37fad391c	cap_per_jsic
A	UNI-b3cdb9e9f2	cap_per_jsic
A	UNI-b47db35e59	cap_per_jsic
A	UNI-b5e9e971aa	cap_per_jsic
A	UNI-b60c7889bb	cap_per_jsic
A	UNI-b63bc1d900	cap_per_jsic
A	UNI-b643396c55	cap_per_jsic
A	UNI-b701626601	cap_per_jsic
A	UNI-b73cfe10f5	cap_per_jsic
A	UNI-b88a641530	cap_per_jsic
A	UNI-b93cd1745c	cap_per_jsic
A	UNI-b965650e01	cap_per_jsic
A	UNI-b988a9a27d	cap_per_jsic
A	UNI-b9f08d47fa	cap_per_jsic
A	UNI-ba146bd376	cap_per_jsic
A	UNI-ba197ec072	cap_per_jsic
A	UNI-ba42c55bec	cap_per_jsic
A	UNI-baaff25f44	cap_per_jsic
A	UNI-bb58a75c1e	cap_per_jsic
A	UNI-bea474dc71	cap_per_jsic
A	UNI-c2487fe9d6	cap_per_jsic
A	UNI-c2fb486bd4	cap_per_jsic
A	UNI-c46533e088	cap_per_jsic
A	UNI-c575eb4d27	cap_per_jsic
A	UNI-c577b9afd9	cap_per_jsic
A	UNI-c6f24a040e	cap_per_jsic
A	UNI-c7346d2d7c	cap_per_jsic
A	UNI-c73c1a1fb8	cap_per_jsic
A	UNI-c759178554	cap_per_jsic
A	UNI-c86c3297b9	cap_per_jsic
A	UNI-c993a94cc6	cap_per_jsic
